Channel,file generation,SALEDATE,NO.,BRAN_NAME,NO2,EAN,PRODUCT DES,SHORT_DESC,Region,Category,ITEM_DESC_SECONDARY,GROUP2,BRAND TBASE,COMP ,COLOR_DESC,SIZE_DESC,Sales QTY,SALRRP,TAX,SALNOT,SALMRP
mbo,04-02-2025 10:43,01-Mar-25,1264,LS DLF Mall-Noida,1035,8955,OVERDYED CARGO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,NAVY,36,1,2299,246.32,2052.68,2299
mbo,04-02-2025 10:43,01-Mar-25,1265,Kingston - Goregaon,1036,8956,OVERDYED CARGO PANTS,APP 005,North,Bottomwear,Pant,5 Pocket,A1,A2,GREY,34,1,3399,364.18,3034.82,3399
SIS,04-02-2025 10:43,01-Mar-25,1266,LS C21 Mall Indore,1037,8957,ELASTIC WAIST BAND CHINO SHORTS,APP 006,North,Topwear,Tshirt,Woven,A1,A2,WHITE,30,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1267,LS-Mall of millennium-Wakad-Pune,1038,8958,OVERDYED CARGO SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,BROWN,32,1,2299,246.32,2052.68,2299
SIS,04-02-2025 10:43,01-Mar-25,1268,METROPOLIS MALL GURGAON,1039,8959,SHORTS,APP 008,North,Topwear,Tshirt,Woven,A1,A2,GREY,32,0,0,0,0,0
SIS,04-02-2025 10:43,01-Mar-25,1269,LS-Vagas Mall-New Delhi,1040,8960,ELASTIC WAIST BAND CHINO SHORTS,APP 009,North,Topwear,Tshirt,Woven,A1,A2,GREEN,38,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1270,LS-Gaur City Mall-Noida,1041,8961,OVERDYED CARGO SHORTS,APP 010,North,Topwear,Tshirt,Woven,A1,A2,OLIVE,32,1,2299,246.32,2052.68,2299
SIS,04-02-2025 10:43,01-Mar-25,1271,Ahmedabad-Alpha One Mall,1042,8962,GEO PRINTED CHINO SHORTS,APP 001,North,Topwear,Tshirt,Woven,A1,A2,WHITE,34,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1272,Vega City Mall-LS-BLR,1043,8963,CARGO PANT,APP 002,North,Bottomwear,Pant,5 Pocket,A1,A2,BROWN,38,1,3199,342.76,2856.24,3199
SIS,04-02-2025 10:43,01-Mar-25,1273,RMZ Gallaria-Bangalore-LS,1044,8964,OVERDYED CARGO SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,OLIVE,34,1,2299,246.32,2052.68,2299
SIS,04-02-2025 10:43,01-Mar-25,1274,Z Square - Kanpur,1045,8965,OVERDYED CARGO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,OLIVE,38,1,2299,246.32,2052.68,2299
EBO,04-02-2025 10:43,01-Mar-25,1275,Ls Mum Market City-Kurla,1046,8966,ELASTIC WAIST BAND CHINO SHORTS,APP 005,North,Topwear,Tshirt,Woven,A1,A2,WHITE,32,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1276,Mantri - Bangalore,1047,8967,CHINO SHORTS,APP 006,North,Topwear,Tshirt,Woven,A1,A2,GREEN,32,-1,-1699,-182.04,-1516.96,-1699
EBO,04-02-2025 10:43,01-Mar-25,1277,Mahagun - Ghaziabad,1048,8968,ELASTIC WAIST BAND CHINO SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,30,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1278,Pacific - Khayala,1049,8969,COTTON LYCRA CARGO PANT,APP 008,North,Bottomwear,Pant,5 Pocket,A1,A2,OLIVE,30,1,3199,342.76,2856.24,3199
EBO,04-02-2025 10:43,01-Mar-25,1279,Express Avenue - Chennai,1050,8970,CHINO SHORTS,APP 009,North,Topwear,Tshirt,Woven,A1,A2,WHITE,30,1,1699,182.04,1516.96,1699
EBO,04-02-2025 10:43,01-Mar-25,1280,Express Avenue - Chennai,1051,8971,CARGO SHORTS,APP 010,North,Topwear,Tshirt,Woven,A1,A2,BLACK,32,1,2199,235.6,1963.4,2199
EBO,04-02-2025 10:43,01-Mar-25,1281,ICC Mall-LS-PUNE,1052,8972,CARGO SHORTS,APP 001,North,Topwear,Tshirt,Woven,A1,A2,BLACK,34,-1,-2199,-235.6,-1963.4,-2199
EBO,04-02-2025 10:43,01-Mar-25,1282,ICC Mall-LS-PUNE,1053,8973,CARGO SHORTS,APP 002,North,Topwear,Tshirt,Woven,A1,A2,BLACK,32,1,2199,235.6,1963.4,2199
EBO,04-02-2025 10:43,01-Mar-25,1283,Phoenix Market City Velachery,1054,8974,CHINO SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,WHITE,30,1,1699,182.04,1516.96,1699
Eomm,04-02-2025 10:43,01-Mar-25,1284,Phoenix Market City Velachery,1055,8975,GEO PRINTED CHINO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,WHITE,30,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Mar-25,1285,Phoenix Market City Velachery,1056,8976,GEO PRINTED CHINO SHORTS,APP 005,North,Topwear,Tshirt,Woven,A1,A2,GREEN,32,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Mar-25,1286,Mantri - Bangalore,1057,8977,CHINO SHORTS,APP 006,North,Topwear,Tshirt,Woven,A1,A2,GREEN,34,1,1699,182.04,1516.96,1699
Eomm,04-02-2025 10:43,01-Mar-25,1287,LS DLF Mall-Noida,1058,8978,GEO PRINTED CHINO SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,GREEN,34,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Mar-25,1288,LS-Mall of millennium-Wakad-Pune,1059,8979,CHINO SHORTS,APP 008,North,Topwear,Tshirt,Woven,A1,A2,WHITE,34,1,1699,182.04,1516.96,1699
Eomm,04-02-2025 10:43,01-Mar-25,1289,METROPOLIS MALL GURGAON,1060,8980,CARGO PANT,APP 009,North,Bottomwear,Pant,5 Pocket,A1,A2,KHAKI,32,1,2879.1,308.48,2570.62,3199
Eomm,04-02-2025 10:43,01-Mar-25,1290,Pacific - Khayala,1061,8981,ELASTIC WAIST BAND CHINO SHORTS,APP 010,North,Topwear,Tshirt,Woven,A1,A2,GREEN,32,2,3598,385.52,3212.48,3598
Eomm,04-02-2025 10:43,01-Mar-25,1291,LS-Vagas Mall-New Delhi,1062,8982,HALF SLEEVE PRINTED SLUB VISCOSE SHIRT,APP 001,North,Topwear,Shirt,Printed,A1,A2,GREEN,M,1,1691,181.18,1509.82,1799
Lifestyle,04-02-2025 10:43,01-Mar-25,1292,Pacific Dehradun,1063,8983,SHORTS,APP 002,North,Topwear,Tshirt,Woven,A1,A2,NAVY,32,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Mar-25,1293,MBD Neopolis - Ludhiana,1064,8984,CHINO SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,BLACK,30,1,1699,182.04,1516.96,1699
Lifestyle,04-02-2025 10:43,01-Mar-25,1294,LS-Sparkle One Mall of Asia-BLR,1065,8985,ELASTIC WAIST BAND CHINO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,WHITE,32,2,3598,385.52,3212.48,3598
Lifestyle,04-02-2025 10:43,01-Mar-25,1295,Vega City Mall-LS-BLR,1066,8986,SHORTS,APP 005,North,Topwear,Tshirt,Woven,A1,A2,NAVY,32,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Mar-25,1296,LS Cosmos Mall Agra,1067,8987,HALF SLEEVE PRINTED SLUB VISCOSE SHIRT,APP 006,North,Topwear,Shirt,Printed,A1,A2,WHITE,L,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Mar-25,1297,Ls Mum Market City-Kurla,1068,8988,ELASTIC WAIST BAND CHINO SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,WHITE,38,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Mar-25,1298,ICC Mall-LS-PUNE,1069,8989,OVERDYED CARGO SHORTS,APP 008,North,Topwear,Tshirt,Woven,A1,A2,BROWN,36,1,2299,246.32,2052.68,2299
Lifestyle,04-02-2025 10:43,01-Mar-25,1299,Quest Kolkatta,1070,8990,CHINO SHORTS,APP 009,North,Topwear,Tshirt,Woven,A1,A2,WHITE,32,1,1699,182.04,1516.96,1699
Lifestyle,04-02-2025 10:43,01-Mar-25,1300,Phoenix Market City Velachery,1071,8991,CARGO SHORTS,APP 010,North,Bottomwear,Cargo Trouser,Woven,A1,A2,OLIVE,34,1,2199,235.6,1963.4,2199
Centro,04-02-2025 10:43,01-Mar-25,1301,LS DLF Mall-Noida,1072,8992,CHINO SHORTS,APP 001,North,Bottomwear,Cargo Trouser,Woven,A1,A2,BEIGE,36,1,1699,182.04,1516.96,1699
Centro,04-02-2025 10:43,01-Mar-25,1302,Elante-Chandigarh,1073,8993,ELASTIC WAIST BAND CHINO SHORTS,APP 002,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,38,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Mar-25,1303,Pacific - Khayala,1074,8994,GEO PRINTED CHINO SHORTS,APP 003,North,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,34,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Mar-25,1304,LS-Vagas Mall-New Delhi,1075,8995,CHINO SHORTS,APP 004,North,Bottomwear,Cargo Trouser,Woven,A1,A2,BLACK,38,1,1699,182.04,1516.96,1699
Centro,04-02-2025 10:43,01-Mar-25,1305,LS-Gaur City Mall-Noida,1076,8996,HALF SLEEVE PRINTED SLUB VISCOSE SHIRT,APP 005,North,Topwear,Shirt,Printed,A1,A2,GREEN,M,2,3238.2,346.96,2891.24,3598
Centro,04-02-2025 10:43,01-Mar-25,1306,Viva City-Thane,1077,8997,LINEN LOOK  CARGO POCKET PANT,APP 006,North,Bottomwear,Pant,5 Pocket,A1,A2,WHITE,30,1,2429.1,260.26,2168.84,2699
Centro,04-02-2025 10:43,01-Mar-25,1307,Viva City-Thane,1078,8998,CARGO SHORTS,APP 007,North,Bottomwear,Cargo Trouser,Woven,A1,A2,BROWN,36,1,2199,235.6,1963.4,2199
Centro,04-02-2025 10:43,01-Mar-25,1308,LS-Nexus Seawoods-Mumbai,1079,8999,COTTON LYCRA CARGO PANT,APP 008,North,Bottomwear,Pant,5 Pocket,A1,A2,OLIVE,34,1,3199,342.76,2856.24,3199
Centro,04-02-2025 10:43,01-Mar-25,1309,Express Avenue - Chennai,1080,9000,CHINO SHORTS,APP 009,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,32,1,1699,182.04,1516.96,1699
mbo,04-02-2025 10:43,01-Mar-25,1310,Express Avenue - Chennai,1081,9001,SHORTS,APP 010,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREY,32,-1,-1574.01,-168.64,-1405.37,-1799
mbo,04-02-2025 10:43,01-Mar-25,1311,Runwal - Ghatkopar,1082,9002,ELASTIC WAIST BAND CHINO SHORTS,APP 001,North,Bottomwear,Cargo Trouser,Woven,A1,A2,BEIGE,30,1,1799,192.76,1606.24,1799
mbo,04-02-2025 10:43,01-Mar-25,1312,LS-Sparkle One Mall of Asia-BLR,1083,9003,ELASTIC WAIST BAND CHINO SHORTS,APP 002,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,32,1,1799,192.76,1606.24,1799
mbo,04-02-2025 10:43,01-Mar-25,1313,Phoenix Market City-LS-BLR,1084,9004,HALF SLEEVE PRINTED SHIRT,APP 003,North,Topwear,Shirt,Printed,A1,A2,BLUE,L,1,1799,192.76,1606.24,1799
mbo,04-02-2025 10:43,01-Mar-25,1314,LS Cosmos Mall Agra,1085,9005,CHINO SHORTS,APP 004,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,36,-1,-1699,-182.04,-1516.96,-1699
mbo,04-02-2025 10:43,01-Mar-25,1315,Ls Mum Market City-Kurla,1086,9006,CHINO SHORTS,APP 005,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,34,1,1699,182.04,1516.96,1699
mbo,04-02-2025 10:43,01-Mar-25,1316,ICC Mall-LS-PUNE,1087,9007,CHINO SHORTS,APP 006,North,Bottomwear,Cargo Trouser,Woven,A1,A2,BEIGE,34,1,1699,182.04,1516.96,1699
mbo,04-02-2025 10:43,01-Mar-25,1317,Adarsh - Bangalore,1088,9008,SHORTS,APP 007,North,Bottomwear,Cargo Trouser,Woven,A1,A2,GREY,30,1,1786.76,191.44,1595.32,1799
mbo,04-02-2025 10:43,01-Mar-25,1318,Mantri - Bangalore,1089,9009,GEO PRINTED CHINO SHORTS,APP 008,North,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,32,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1319,Inorbit - Cyberabad,1090,9010,CHINO SHORTS,APP 009,North,Bottomwear,Cargo Trouser,Woven,A1,A2,BEIGE,34,1,1699,182.04,1516.96,1699
SIS,04-02-2025 10:43,01-Mar-25,1320,Ls-Sports Club Pune,1091,9011,OVERDYED CARGO SHORTS,APP 010,North,Bottomwear,Cargo Trouser,Woven,A1,A2,OLIVE,34,1,2299,246.32,2052.68,2299
SIS,04-02-2025 10:43,01-Mar-25,1321,Phoenix Market City-LS-PUNE,1092,9012,CHINO SHORTS,APP 001,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,34,1,1699,182.04,1516.96,1699
SIS,04-02-2025 10:43,01-Mar-25,1322,Ahmedabad-Alpha One Mall,1093,9013,GEO PRINTED CHINO SHORTS,APP 002,West,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,32,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1323,LS-Nexus Seawoods-Mumbai,1094,9014,SHORTS,APP 003,West,Bottomwear,Cargo Trouser,Woven,A1,A2,NAVY,32,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1324,LS-PMC-Indore,1095,9015,CHINO SHORTS,APP 004,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,32,1,1699,182.04,1516.96,1699
SIS,04-02-2025 10:43,01-Mar-25,1325,LS Cosmos Mall Agra,1096,9016,SHORTS,APP 005,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREY,36,-1,-1799,-192.76,-1606.24,-1799
SIS,04-02-2025 10:43,01-Mar-25,1326,ICC Mall-LS-PUNE,1097,9017,PELICAN  PRINTED CHINO SHORTS,APP 006,West,Bottomwear,Cargo Trouser,Woven,A1,A2,BLUE,36,1,1799,192.76,1606.24,1799
SIS,04-02-2025 10:43,01-Mar-25,1327,ICC Mall-LS-PUNE,1098,9018,SHORTS,APP 007,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREY,36,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1328,Phoenix Market City Velachery,1099,9019,ELASTIC WAIST BAND CHINO SHORTS,APP 008,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,30,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1329,Phoenix Market City Velachery,1100,9020,CARGO SHORTS,APP 009,West,Bottomwear,Cargo Trouser,Woven,A1,A2,BROWN,34,1,2199,235.6,1963.4,2199
EBO,04-02-2025 10:43,01-Mar-25,1330,Adarsh - Bangalore,1101,9021,ELASTIC WAIST BAND CHINO SHORTS,APP 010,West,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,36,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1331,Mantri - Bangalore,1102,9022,ELASTIC WAIST BAND CHINO SHORTS,APP 001,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,34,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1332,METROPOLIS MALL GURGAON,1103,9023,PELICAN  PRINTED CHINO SHORTS,APP 002,West,Bottomwear,Cargo Trouser,Woven,A1,A2,LIGHT BLUE,32,0,0,0,0,0
EBO,04-02-2025 10:43,01-Mar-25,1333,LS-Vagas Mall-New Delhi,1104,9024,GEO PRINTED CHINO SHORTS,APP 003,West,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,36,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1334,Phoenix Market City-LS-PUNE,1105,9025,ELASTIC WAIST BAND CHINO SHORTS,APP 004,West,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,32,1,1799,192.76,1606.24,1799
EBO,04-02-2025 10:43,01-Mar-25,1335,Ahmedabad-Alpha One Mall,1106,9026,CHINO SHORTS,APP 005,West,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,32,3,5097,546.12,4550.88,5097
EBO,04-03-2025 10:45,01-Mar-25,1336,Viva City-Thane,1107,9027,ELASTIC WAIST BAND CHINO SHORTS,APP 006,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREEN,36,1,1799,192.76,1606.24,1799
Eomm,04-03-2025 10:45,01-Mar-25,1337,Express Avenue - Chennai,1108,9028,OVERDYED CARGO SHORTS,APP 007,West,Bottomwear,Cargo Trouser,Woven,A1,A2,GREY,34,1,2299,246.32,2052.68,2299
Eomm,04-03-2025 10:45,01-Mar-25,1338,LS-VR Mall-Nagpur,1109,9029,COTTON LYCRA CARGO PANT,APP 008,West,Bottomwear,Pant,5 Pocket,A1,A2,GREEN,32,1,3199,342.76,2856.24,3199
Eomm,04-03-2025 10:45,01-Mar-25,1339,Z Square - Kanpur,1110,9030,CHINO SHORTS,APP 009,West,Bottomwear,Cargo Trouser,Woven,A1,A2,BLACK,32,1,1699,182.04,1516.96,1699
Eomm,04-03-2025 10:45,01-Mar-25,1340,LS-Gaur City Mall-Noida,1111,9031,SHORTS,APP 010,West,Bottomwear,Cargo Trouser,Woven,A1,A2,NAVY,36,1,1799,192.76,1606.24,1799
Eomm,04-03-2025 10:45,01-Mar-25,1341,LS DLF Mall-Noida,1112,9032,ELASTIC WAIST BAND CHINO SHORTS,APP 001,West,Bottomwear,Cargo Trouser,Woven,A1,A2,BEIGE,34,1,1799,192.76,1606.24,1799
Eomm,04-03-2025 10:45,01-Mar-25,1342,Pacific - Khayala,1113,9033,GEO PRINTED CHINO SHORTS,APP 002,West,Bottomwear,Cargo Trouser,Woven,A1,A2,WHITE,34,1,1799,192.76,1606.24,1799
Eomm,04-03-2025 10:45,01-Mar-25,1343,Quest Kolkatta,1114,9034,HALF SLEEVE PRINTED SLUB VISCOSE SHIRT,APP 003,West,Topwear,Shirt,Printed,A1,A2,WHITE,L,1,1799,192.76,1606.24,1799
Eomm,04-03-2025 10:45,01-Mar-25,1344,Phoenix Market City-LS-PUNE,1115,9035,PELICAN  PRINTED CHINO SHORTS,APP 004,West,Bottomwear,Cargo Trouser,Woven,A1,A2,BLUE,34,1,1529.15,163.84,1365.31,1799
Lifestyle,04-03-2025 10:45,01-Mar-25,1345,Kingston - Goregaon,1116,9036,OVERDYED CARGO SHORTS,APP 005,West,Bottomwear,Cargo Trouser,Woven,A1,A2,OLIVE,32,1,2299,246.32,2052.68,2299
Lifestyle,04-03-2025 10:45,01-Mar-25,1346,Z Square - Kanpur,1117,9037,OVERDYED CARGO SHORTS,APP 006,West,Bottomwear,Cargo Trouser,Woven,A1,A2,NAVY,30,1,2299,246.32,2052.68,2299
